Factor_1;Factor_2;Factor_3;Factor_4;Factor_5;Factor_6;Factor_7;Factor_8;Factor_9;Factor_10;Factor_11;Factor_12;Factor_13;Factor_14;Factor_15;Factor_16;Factor_17;Factor_18;Factor_19;Factor_20;Factor_21;Factor_22;Factor_23;Factor_24;Factor_25;Factor_26;Factor_27;Factor_28;Factor_29;Factor_30;Factor_31;Factor_32;Factor_33;Factor_34;Factor_35;Factor_36;Factor_37;Factor_38;Factor_39;Factor_40;Factor_41;Factor_42;Factor_43;Factor_44;Factor_45;Factor_46;Factor_47;Factor_48;Factor_49;Factor_50;Factor_51;Factor_52;Factor_53;Factor_54;Factor_55;Factor_56;Factor_57;Factor_58;Factor_59;Factor_60;Factor_61;Factor_62;Factor_63;Factor_64;Factor_65;Factor_66;Factor_67;Factor_68;Factor_69;Factor_70;Factor_71;Factor_72;Factor_73;Factor_74;Factor_75;STATUS
0.333333;0.014545;0.666667;153923;0;0;0;153923;153923;0;0;2;1059;0;1;4;0;0;2;0.166667;0;0;0;0;0;0;153923;1059;0;4;0;1254341;2266;0;0.666667;0;0;1;2;2;153923;2;0.6;0;209056.8333;0.666667;0;0.666667;1;0;619819;0;1254341;0;2;0;0.333333;1;0;0;0.833333;0;500000;0;199777.5;0;0.333333;0.5;1059;0.003636;0;0;0;0;0;1
0.727273;0.309942;0.954545;338179;2;0.866667;14296.26667;285955;22963;3;0.125;43;8;6;34;53;0.666667;0.333333;64;0.681818;0.0625;0.5;0.333333;0.1875;1;0.375;11272.63333;8;0.166667;33;0.5;573528;0;0.8;0;16;15782;30;10;32;19200;8;1.357143;0;13034.72727;1.434783;13;1.204545;8;2;44525;0;359084;10300;27;0.074442;0.956522;0.666667;0;0.133333;0.25;0.338753;38653;0;10484;0;0.045455;0.022727;41;0.005848;0;0;1;2;0;0
0;0;0;0;1;0;0;0;0;1;1;0;6;1;0;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;1;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5500;1;0;0;0;0;6;0;0;0;0;0;0;0
1;1;1;38969;3;2.666667;12989.66667;50977;30325;3;1;8;9;3;8;8;1;1;8;1;1;1;1;1;3;1;12989.66667;27;1;3;1;38969;9;1;2.666667;3;12989.66667;3;3;3;25977;3;0;1;12989.66667;3;8;2.666667;3;3;5450;1;0;3194;0;0;0;0.26087;3;0.666667;0;0.221817;25977;0;25977;2;0;0;40;0;0;0;0;0;0;0
1;0.206897;0.666667;3000;1;1;1500;8000;3000;1;1;6;6;1;2;6;1;1;4;0.666667;1;1;1;1;1;1;1500;2156;1;4;1;28716;6;1;1;1;1500;2;4;3;5000;4;4;1;9572;4;2;2;4;1;25716;1;25716;0;1;0.116659;1;1;2;1;0.333333;1;5000;0.666667;16430;0;0;0.333333;6;0.137931;0;0;0;0;0;1
0;0.653846;1;0;3;4;10117;0;0;3;1;0;15;3;0;17;1;1;0;0;1;1;1;1;3;1;0;15;1;8;1;27534;15;0;5.666667;3;2000;0;9;0;0;8;5.666667;0;9178;8;8;5.666667;0;0;18234;0;7300;2000;0;0.273973;0;0;0;0.5;0.333333;1;50000;0;50000;0;0;0.333333;59;0;1;2;2;0;1;0
0.608696;0.44152;0.782609;580700;1;0;0;651014;352291;1;0.25;69;31;2;67;151;1;0.5;124;0.521739;0;0;0;0.25;0;0.5;48391.66667;431;0;27;0.5;1836088;31;0;9.125;4;0;12;44;14;299000;14;10.5;0;79829.91304;5.4;0;6.565217;14;0;352291;0;1836088;0;15;0;0.8;0;0;0;0.347826;0;1275000;0;154602.8;1;0.173913;0.304348;557;0.002924;0;0;0;0;0;1
0.571429;0.531915;0.571429;2452;0;0;0;25000;2452;0;0;75;175;1;9;75;0;0;23;0.142857;0;0;0;0;0;1;2452;982;0;43;0;55540;175;0;2.25;1;0;1;34;4;25000;34;22;0.25;7934.285714;21.5;0;10.714286;34;0;24948;0.25;55540;0;3;0;1;0.5;0;1;0.428571;0;55000;0.142857;16156.5;1;0;0.142857;9;0.06383;0;0;0;0;0;0
0.181818;0.061497;0.818182;0;0;0;0;0;0;0;0;8;473;0;0;23;0;0;0;0;0;0;0;0;0;0;0;509;0;14;0;115935;509;0;1.4;0;0;0;5;2;0;4;2.090909;0;10539.54546;1.75;0;2.090909;5;0;50601;0;115935;0;1;0;0;1;0;0;1;0;192000;0;48766.625;0;0.636364;0.818182;473;0.013369;0;0;0;0;0;1
0.777778;0.543568;0.833333;998292;0;0;0;696176;245497;0;0;221;286;0;218;262;0;0;320;0.722222;0;0;0;0;0;0;76791.69231;1295;0;148;0;1744508;286;0;20.75;1;0;13;50;14;151390;42;11;0.25;96917.11111;13.454545;0;14.555556;50;0;481158;0.25;1744508;0;13;0;1;0.25;0;1;0.222222;0;30000;0;100289.9091;3;0.166667;0.333333;40;0.006224;0;0;0;0;0;0
